farm,cycle,cage,date_operational,temperature,temp_qualy
farm 38,cycle 171,cage 4629,2019-09-16,NA,FALSE
farm 38,cycle 171,cage 4629,2019-09-17,NA,FALSE
farm 38,cycle 171,cage 4629,2019-09-18,NA,FALSE
farm 38,cycle 171,cage 4629,2019-09-19,NA,FALSE
farm 38,cycle 171,cage 4629,2019-09-20,NA,FALSE
farm 38,cycle 171,cage 4629,2019-09-21,NA,FALSE
farm 38,cycle 171,cage 4629,2019-09-22,NA,FALSE
farm 38,cycle 171,cage 4629,2019-09-23,NA,FALSE
farm 38,cycle 171,cage 4629,2019-09-24,NA,FALSE
farm 38,cycle 171,cage 4629,2019-09-25,NA,FALSE
farm 38,cycle 171,cage 4629,2019-09-26,NA,FALSE
farm 38,cycle 171,cage 4629,2019-09-27,NA,FALSE
farm 38,cycle 171,cage 4629,2019-09-28,NA,FALSE
farm 38,cycle 171,cage 4629,2019-09-29,NA,FALSE
farm 38,cycle 171,cage 4629,2019-09-30,NA,FALSE
farm 38,cycle 171,cage 4629,2019-10-01,NA,FALSE
farm 38,cycle 171,cage 4629,2019-10-02,NA,FALSE
farm 38,cycle 171,cage 4629,2019-10-03,NA,FALSE
farm 38,cycle 171,cage 4629,2019-10-04,NA,FALSE
farm 38,cycle 171,cage 4629,2019-10-05,NA,FALSE
farm 38,cycle 171,cage 4629,2019-10-06,NA,FALSE
farm 38,cycle 171,cage 4629,2019-10-07,NA,FALSE
farm 38,cycle 171,cage 4629,2019-10-08,NA,FALSE
farm 38,cycle 171,cage 4629,2019-10-09,NA,FALSE
farm 38,cycle 171,cage 4629,2019-10-10,NA,FALSE
